,Name,Price,# Races,Win Rate,Last Race Date
0,katellia,0.105,1,0.0,"July 18, 2021 11:38am"
1,Esmeralda,0.19,12,0.0,"July 17, 2021  8:54pm"
2,Yacht-Master,0.11,5,0.0,"July  3, 2021 11:04am"
3,Harrison Barnes,0.11,7,0.0,"July 17, 2021  8:07pm"
4,Race Judicata,0.498,18,11.11,"July 18, 2021 10:48am"
5,Stolen Kiss,0.37,6,0.0,"July 14, 2021  5:40am"
6,XCOM Mods,3,45,11.11,"July 18, 2021  5:03am"
7,Formula Won,1,187,6.95,"July 16, 2021 11:30am"
8,My Cousin Vinny,1.1,26,11.54,"July 18, 2021 11:55am"
9,Chicken Nugget,0.3,4,25.0,"July  3, 2021  7:10am"
10,Alien 194,0.299,40,10.0,"July 18, 2021 10:36am"
11,A Flock of Seagulls,0.4,16,0.0,"July 18, 2021  5:45am"
12,KRONUS,0.05,15,0.0,"July  3, 2021 10:59am"
13,Quetzalcoatl,0.15,34,0.0,"July  9, 2021  4:51pm"
14,Buzz Lightyear,2.4,17,0.0,"June 23, 2021  6:33am"
15,Destanation Pluto,0.25,9,22.22,"July 18, 2021 11:20am"
